time,.destination_id,.distance,.stamp
1970/01/01/02:02:41.951000,"(26955, 26952, 26959, 26954)","(2440.9522699758018, 1659.2477213761747, 3227.465593602855, 2707.0495885924943)","[genpy.Time[161949000000], genpy.Time[161949000000], genpy.Time[161949000000]]"
1970/01/01/02:02:42.152000,"(26955, 26952, 26959, 26954)","(2459.61891083026, 1712.6332782776267, 3200.9995866247223, 2606.554351385976)","[genpy.Time[162152000000], genpy.Time[162152000000], genpy.Time[162152000000]]"
1970/01/01/02:02:42.353000,"(26955, 26952, 26959, 26954)","(2535.550707066059, 1778.3721944116346, 3193.789184306234, 2594.7651795949228)","[genpy.Time[162353000000], genpy.Time[162353000000], genpy.Time[162353000000]]"
1970/01/01/02:02:42.553000,"(26955, 26952, 26959, 26954)","(2532.8277657273975, 1784.0782057901824, 3139.8808447321, 2532.3144740151915)","[genpy.Time[162553000000], genpy.Time[162553000000], genpy.Time[162553000000]]"
1970/01/01/02:02:42.753000,"(26955, 26952, 26959, 26954)","(2572.9361446341823, 1835.0440195180274, 3089.6032214517163, 2510.995254262706)","[genpy.Time[162753000000], genpy.Time[162753000000], genpy.Time[162753000000]]"
1970/01/01/02:02:42.953000,"(26955, 26952, 26959, 26954)","(2577.239630724405, 1867.0931752150648, 3028.3223424240064, 2422.588442512215)","[genpy.Time[162953000000], genpy.Time[162953000000], genpy.Time[162953000000]]"
1970/01/01/02:02:43.154000,"(26955, 26952, 26959, 26954)","(2664.7813529412792, 1923.0864796835674, 3035.0149583126126, 2369.611046218765)","[genpy.Time[163153000000], genpy.Time[163153000000], genpy.Time[163153000000]]"
1970/01/01/02:02:43.358000,"(26955, 26952, 26959, 26954)","(2675.845842300005, 2005.5497266762188, 2967.285431660671, 2341.1588192111517)","[genpy.Time[163356000000], genpy.Time[163356000000], genpy.Time[163356000000]]"
1970/01/01/02:02:43.562000,"(26955, 26952, 26959, 26954)","(2790.4127918292447, 2057.893256301557, 2911.8575972837907, 2281.37367602606)","[genpy.Time[163570000000], genpy.Time[163570000000], genpy.Time[163570000000]]"
1970/01/01/02:02:43.772000,"(26955, 26952, 26959, 26954)","(2741.0498793578154, 2074.4805712019465, 2885.0162324781727, 2244.6848229916077)","[genpy.Time[163771000000], genpy.Time[163771000000], genpy.Time[163771000000]]"
1970/01/01/02:02:43.969000,"(26955, 26952, 26959, 26954)","(2765.8440730558877, 2121.907449177204, 2815.212143226934, 2182.7001149305097)","[genpy.Time[163972000000], genpy.Time[163972000000], genpy.Time[163972000000]]"
1970/01/01/02:02:44.175000,"(26955, 26952, 26959, 26954)","(2842.4776461698843, 2168.1490378830736, 2801.6709928818127, 2144.756613212709)","[genpy.Time[164172000000], genpy.Time[164172000000], genpy.Time[164172000000]]"
1970/01/01/02:02:44.375000,"(26955, 26952, 26959, 26954)","(2863.5986296010433, 2232.7200264544317, 2786.250627630691, 2097.504713596349)","[genpy.Time[164374000000], genpy.Time[164374000000], genpy.Time[164374000000]]"
1970/01/01/02:02:44.575000,"(26955, 26952, 26959, 26954)","(2887.2988144625924, 2255.1878454593275, 2727.0030823164116, 2058.760180843856)","[genpy.Time[164575000000], genpy.Time[164575000000], genpy.Time[164575000000]]"
1970/01/01/02:02:44.775000,"(26955, 26952, 26959, 26954)","(2904.6128853166147, 2347.39707741621, 2699.56128655015, 1988.8181049591753)","[genpy.Time[164775000000], genpy.Time[164775000000], genpy.Time[164775000000]]"
1970/01/01/02:02:44.968000,"(26955, 26952, 26959, 26954)","(3001.830407816832, 2409.4306830355704, 2656.8827298008164, 1937.3752879539393)","[genpy.Time[164976000000], genpy.Time[164976000000], genpy.Time[164976000000]]"
1970/01/01/02:02:45.177000,"(26955, 26952, 26959, 26954)","(3036.711908117082, 2385.921648669381, 2620.921557299412, 1924.2766183781634)","[genpy.Time[165176000000], genpy.Time[165176000000], genpy.Time[165176000000]]"
1970/01/01/02:02:45.377000,"(26955, 26952, 26959, 26954)","(3103.2196999685507, 2473.0005889281, 2573.21783039235, 1865.1629201024764)","[genpy.Time[165377000000], genpy.Time[165377000000], genpy.Time[165377000000]]"
1970/01/01/02:02:45.577000,"(26955, 26952, 26959, 26954)","(3059.4531262439873, 2523.682736442287, 2566.5087673743856, 1780.48110494589)","[genpy.Time[165577000000], genpy.Time[165577000000], genpy.Time[165577000000]]"
1970/01/01/02:02:45.777000,"(26955, 26952, 26959, 26954)","(3108.1675053694307, 2568.459700251144, 2527.6780635124405, 1775.3333939852162)","[genpy.Time[165777000000], genpy.Time[165777000000], genpy.Time[165777000000]]"
1970/01/01/02:02:45.979000,"(26955, 26952, 26959, 26954)","(3203.1308675753094, 2591.16300864205, 2467.6391879110042, 1724.1992323327422)","[genpy.Time[165978000000], genpy.Time[165978000000], genpy.Time[165978000000]]"
1970/01/01/02:02:46.179000,"(26955, 26952, 26959, 26954)","(3244.7076838179605, 2637.893962913263, 2455.745240684573, 1681.844887510367)","[genpy.Time[166178000000], genpy.Time[166178000000], genpy.Time[166178000000]]"
1970/01/01/02:02:46.379000,"(26955, 26952, 26959, 26954)","(3294.8269334266647, 2744.795820968079, 2435.9954866938215, 1621.1773691277494)","[genpy.Time[166378000000], genpy.Time[166378000000], genpy.Time[166378000000]]"
1970/01/01/02:02:46.581000,"(26955, 26952, 26959, 26954)","(3313.0227609844455, 2722.3207906120833, 2401.8947511563065, 1617.3334680137325)","[genpy.Time[166579000000], genpy.Time[166579000000], genpy.Time[166579000000]]"
1970/01/01/02:02:46.781000,"(26955, 26952, 26959, 26954)","(3330.9459160128654, 2783.7681262036544, 2391.4284015599087, 1581.3548807442012)","[genpy.Time[166779000000], genpy.Time[166779000000], genpy.Time[166779000000]]"
1970/01/01/02:02:46.983000,"(26955, 26952, 26959, 26954)","(3367.062885577084, 2783.7685118590302, 2368.978474434762, 1540.9436490689618)","[genpy.Time[166982000000], genpy.Time[166982000000], genpy.Time[166982000000]]"
1970/01/01/02:02:47.183000,"(26955, 26952, 26959, 26954)","(3353.743186458248, 2865.747086907409, 2363.580476282921, 1504.7335635988775)","[genpy.Time[167183000000], genpy.Time[167183000000], genpy.Time[167183000000]]"
1970/01/01/02:02:47.384000,"(26955, 26952, 26959, 26954)","(3422.982816609676, 2902.822032145861, 2317.6067280974644, 1478.1723381461513)","[genpy.Time[167383000000], genpy.Time[167383000000], genpy.Time[167383000000]]"
1970/01/01/02:02:47.586000,"(26955, 26952, 26959, 26954)","(3413.967477719345, 2902.727602793397, 2354.2599809055505, 1448.0304333574395)","[genpy.Time[167584000000], genpy.Time[167584000000], genpy.Time[167584000000]]"
1970/01/01/02:02:47.789000,"(26955, 26952, 26959, 26954)","(3415.292281473598, 2947.4815820939925, 2303.6163701990954, 1426.4273361708129)","[genpy.Time[167787000000], genpy.Time[167787000000], genpy.Time[167787000000]]"
1970/01/01/02:02:47.998000,"(26955, 26952, 26959, 26954)","(3468.513199276876, 3003.506067790894, 2286.3967533396003, 1384.331417778747)","[genpy.Time[167990000000], genpy.Time[167990000000], genpy.Time[167990000000]]"
1970/01/01/02:02:48.194000,"(26955, 26952, 26959, 26954)","(3505.4428766688625, 2975.462085283952, 2292.397485752507, 1409.0822822566395)","[genpy.Time[168193000000], genpy.Time[168193000000], genpy.Time[168193000000]]"
1970/01/01/02:02:48.393000,"(26955, 26952, 26959, 26954)","(3546.3553605105576, 3049.203194319509, 2252.553359456898, 1371.8072785532208)","[genpy.Time[168393000000], genpy.Time[168393000000], genpy.Time[168393000000]]"
1970/01/01/02:02:48.593000,"(26955, 26952, 26959, 26954)","(3536.276380300679, 3055.384517980104, 2244.2581995760256, 1343.3496836515847)","[genpy.Time[168593000000], genpy.Time[168593000000], genpy.Time[168593000000]]"
1970/01/01/02:02:48.795000,"(26955, 26952, 26959, 26954)","(3533.8355080128717, 3089.084924714104, 2241.2042849588956, 1332.359824984422)","[genpy.Time[168794000000], genpy.Time[168794000000], genpy.Time[168794000000]]"
1970/01/01/02:02:48.994000,"(26955, 26952, 26959, 26954)","(3566.3348334813454, 3068.787244143957, 2282.604257794697, 1330.096502226772)","[genpy.Time[168994000000], genpy.Time[168994000000], genpy.Time[168994000000]]"
1970/01/01/02:02:49.195000,"(26955, 26952, 26959, 26954)","(3550.0900400220326, 3026.6747941405065, 2252.5899572383787, 1348.5323576547717)","[genpy.Time[169194000000], genpy.Time[169194000000], genpy.Time[169194000000]]"
1970/01/01/02:02:49.395000,"(26955, 26952, 26959, 26954)","(3528.295887199174, 3051.7732088632133, 2222.269815432864, 1321.5266571595807)","[genpy.Time[169395000000], genpy.Time[169395000000], genpy.Time[169395000000]]"
1970/01/01/02:02:49.599000,"(26955, 26952, 26959, 26954)","(3578.369411279784, 3058.438219627134, 2241.6381631322733, 1335.8807646549176)","[genpy.Time[169595000000], genpy.Time[169595000000], genpy.Time[169595000000]]"
1970/01/01/02:02:49.792000,"(26955, 26952, 26959, 26954)","(3551.365216252497, 3057.100665606669, 2229.1712598242893, 1326.9199537016689)","[genpy.Time[169797000000], genpy.Time[169797000000], genpy.Time[169797000000]]"
1970/01/01/02:02:50.000000,"(26955, 26952, 26959, 26954)","(3494.5516881777116, 3053.0370387647445, 2241.0608563775836, 1335.1802964239555)","[genpy.Time[170000000000], genpy.Time[170000000000], genpy.Time[170000000000]]"
1970/01/01/02:02:50.200000,"(26955, 26952, 26959, 26954)","(3524.797191149539, 3072.9361026917663, 2246.0153455317895, 1338.7708541090574)","[genpy.Time[170200000000], genpy.Time[170200000000], genpy.Time[170200000000]]"
1970/01/01/02:02:50.397000,"(26955, 26952, 26959, 26954)","(3526.8995491961646, 3074.6786669152107, 2215.3672757111335, 1333.769217850538)","[genpy.Time[170401000000], genpy.Time[170401000000], genpy.Time[170401000000]]"
1970/01/01/02:02:50.605000,"(26955, 26952, 26959, 26954)","(3508.7174220949723, 3087.3008779281217, 2244.195833963839, 1324.871814298449)","[genpy.Time[170604000000], genpy.Time[170604000000], genpy.Time[170604000000]]"
1970/01/01/02:02:50.804000,"(26955, 26952, 26959, 26954)","(3555.088972241879, 3097.372489513915, 2253.3209643331593, 1319.541486290135)","[genpy.Time[170804000000], genpy.Time[170804000000], genpy.Time[170804000000]]"
1970/01/01/02:02:51.006000,"(26955, 26952, 26959, 26954)","(3552.592969741129, 3072.289467539682, 2208.4426884677196, 1351.8274347515066)","[genpy.Time[171005000000], genpy.Time[171005000000], genpy.Time[171005000000]]"
1970/01/01/02:02:51.207000,"(26955, 26952, 26959, 26954)","(3591.106588586309, 3009.2336290159906, 2242.162268030421, 1318.7599621787226)","[genpy.Time[171206000000], genpy.Time[171206000000], genpy.Time[171206000000]]"
1970/01/01/02:02:51.409000,"(26955, 26952, 26959, 26954)","(3517.8209219665173, 3082.18367747303, 2217.6034573752413, 1339.870502746172)","[genpy.Time[171407000000], genpy.Time[171407000000], genpy.Time[171407000000]]"
