time,destination_id,distance,stamp
1970/01/01/02:02:09.519000,"(26955, 26952, 26959, 26954)","(2704.545149444563, 3157.1109065543296, 1787.1211356348397, 2341.7296109903027)","[genpy.Time[129516000000], genpy.Time[129516000000], genpy.Time[129516000000]]"
1970/01/01/02:02:09.723000,"(26955, 26952, 26959, 26954)","(2667.07485357704, 3132.0633518318277, 1762.0228381133686, 2340.875365348046)","[genpy.Time[129723000000], genpy.Time[129723000000], genpy.Time[129723000000]]"
1970/01/01/02:02:09.925000,"(26955, 26952, 26959, 26954)","(2695.071299536996, 3172.9840963025213, 1743.2399287677333, 2396.0405992515625)","[genpy.Time[129924000000], genpy.Time[129924000000], genpy.Time[129924000000]]"
1970/01/01/02:02:10.124000,"(26955, 26952, 26959, 26954)","(2648.467252491642, 3170.028822633424, 1731.4821705104841, 2410.7403725364015)","[genpy.Time[130124000000], genpy.Time[130124000000], genpy.Time[130124000000]]"
1970/01/01/02:02:10.325000,"(26955, 26952, 26959, 26954)","(2656.6207650408305, 3166.5780160297127, 1725.9962966956584, 2451.515399582307)","[genpy.Time[130324000000], genpy.Time[130324000000], genpy.Time[130324000000]]"
1970/01/01/02:02:10.525000,"(26955, 26952, 26959, 26954)","(2622.2104464333183, 3215.5214977125597, 1714.8892704032778, 2482.5106386880707)","[genpy.Time[130524000000], genpy.Time[130524000000], genpy.Time[130524000000]]"
1970/01/01/02:02:10.727000,"(26955, 26952, 26959, 26954)","(2690.884009617663, 3175.5576819236962, 1720.937328361213, 2469.3264861888565)","[genpy.Time[130726000000], genpy.Time[130726000000], genpy.Time[130726000000]]"
1970/01/01/02:02:10.928000,"(26955, 26952, 26959, 26954)","(2619.9405396246525, 3187.958660273568, 1703.4071289437813, 2467.3908487396798)","[genpy.Time[130928000000], genpy.Time[130928000000], genpy.Time[130928000000]]"
1970/01/01/02:02:11.132000,"(26955, 26952, 26959, 26954)","(2629.579467612619, 3182.277421789239, 1734.2149505849961, 2484.574865564497)","[genpy.Time[131131000000], genpy.Time[131131000000], genpy.Time[131131000000]]"
1970/01/01/02:02:11.335000,"(26955, 26952, 26959, 26954)","(2637.0294070592086, 3217.345906200628, 1726.014234954032, 2432.9811350998216)","[genpy.Time[131334000000], genpy.Time[131334000000], genpy.Time[131334000000]]"
1970/01/01/02:02:11.537000,"(26955, 26952, 26959, 26954)","(2636.556180647986, 3159.616200752011, 1724.309291226925, 2463.895744515487)","[genpy.Time[131535000000], genpy.Time[131535000000], genpy.Time[131535000000]]"
1970/01/01/02:02:11.738000,"(26955, 26952, 26959, 26954)","(2635.5279229506364, 3157.6779966664103, 1710.0294845101087, 2442.5646400657592)","[genpy.Time[131736000000], genpy.Time[131736000000], genpy.Time[131736000000]]"
1970/01/01/02:02:11.940000,"(26955, 26952, 26959, 26954)","(2666.8646963312685, 3223.519428419588, 1716.6163454337882, 2438.8376160805788)","[genpy.Time[131939000000], genpy.Time[131939000000], genpy.Time[131939000000]]"
1970/01/01/02:02:12.145000,"(26955, 26952, 26959, 26954)","(2638.335491318523, 3118.8045994583167, 1705.7506738113639, 2459.5030771124675)","[genpy.Time[132144000000], genpy.Time[132144000000], genpy.Time[132144000000]]"
1970/01/01/02:02:12.348000,"(26955, 26952, 26959, 26954)","(2648.4596470671995, 3195.065768095118, 1735.664409637609, 2438.666549783307)","[genpy.Time[132346000000], genpy.Time[132346000000], genpy.Time[132346000000]]"
1970/01/01/02:02:12.548000,"(26955, 26952, 26959, 26954)","(2681.0390515330237, 3209.8703434910076, 1733.1658293399257, 2484.676232422955)","[genpy.Time[132547000000], genpy.Time[132547000000], genpy.Time[132547000000]]"
1970/01/01/02:02:12.743000,"(26955, 26952, 26959, 26954)","(2650.0363106778323, 3196.6177876605825, 1696.2872656195248, 2432.992054262084)","[genpy.Time[132752000000], genpy.Time[132752000000], genpy.Time[132752000000]]"
1970/01/01/02:02:12.956000,"(26955, 26952, 26959, 26954)","(2653.63061506643, 3155.425539990003, 1714.9932257420828, 2440.054986054841)","[genpy.Time[132955000000], genpy.Time[132955000000], genpy.Time[132955000000]]"
1970/01/01/02:02:13.157000,"(26955, 26952, 26959, 26954)","(2600.0697879673676, 3174.3916001727575, 1755.756143449029, 2480.627564341992)","[genpy.Time[133157000000], genpy.Time[133157000000], genpy.Time[133157000000]]"
1970/01/01/02:02:13.357000,"(26955, 26952, 26959, 26954)","(2542.4722567539598, 3082.72159252752, 1804.2779064422327, 2494.316173898897)","[genpy.Time[133357000000], genpy.Time[133357000000], genpy.Time[133357000000]]"
1970/01/01/02:02:13.561000,"(26955, 26952, 26959, 26954)","(2527.7020463527647, 3085.440494040974, 1855.2390685608514, 2569.2332519081683)","[genpy.Time[133560000000], genpy.Time[133560000000], genpy.Time[133560000000]]"
1970/01/01/02:02:13.762000,"(26955, 26952, 26959, 26954)","(2440.885286904523, 3015.031275789951, 1894.1029082933546, 2591.5540599332626)","[genpy.Time[133761000000], genpy.Time[133761000000], genpy.Time[133761000000]]"
1970/01/01/02:02:13.964000,"(26955, 26952, 26959, 26954)","(2406.107744811867, 2970.049409616638, 1954.8948405935828, 2596.262836963073)","[genpy.Time[133963000000], genpy.Time[133963000000], genpy.Time[133963000000]]"
1970/01/01/02:02:14.166000,"(26955, 26952, 26959, 26954)","(2355.653824837019, 2966.8821652323786, 1981.271864623435, 2642.1067803253254)","[genpy.Time[134165000000], genpy.Time[134165000000], genpy.Time[134165000000]]"
1970/01/01/02:02:14.366000,"(26955, 26952, 26959, 26954)","(2296.313037281669, 2923.5147620710422, 2011.136845697905, 2736.5207550968103)","[genpy.Time[134365000000], genpy.Time[134365000000], genpy.Time[134365000000]]"
1970/01/01/02:02:14.582000,"(26955, 26952, 26959, 26954)","(2281.615323717912, 2846.8765962088773, 2065.3583471016364, 2757.6184774483672)","[genpy.Time[134580000000], genpy.Time[134580000000], genpy.Time[134580000000]]"
1970/01/01/02:02:14.784000,"(26955, 26952, 26959, 26954)","(2207.3586419892476, 2891.396891953119, 2127.224398625378, 2774.2676226297276)","[genpy.Time[134783000000], genpy.Time[134783000000], genpy.Time[134783000000]]"
1970/01/01/02:02:14.985000,"(26955, 26952, 26959, 26954)","(2175.021050707538, 2773.8735527694125, 2201.6571501652375, 2803.698310197207)","[genpy.Time[134984000000], genpy.Time[134984000000], genpy.Time[134984000000]]"
1970/01/01/02:02:15.186000,"(26955, 26952, 26959, 26954)","(2098.58752077532, 2751.5184191353937, 2210.068727904842, 2844.979023993286)","[genpy.Time[135185000000], genpy.Time[135185000000], genpy.Time[135185000000]]"
1970/01/01/02:02:15.387000,"(26955, 26952, 26959, 26954)","(2063.62144791273, 2691.7442080293617, 2308.726138243113, 2877.8162486463343)","[genpy.Time[135386000000], genpy.Time[135386000000], genpy.Time[135386000000]]"
1970/01/01/02:02:15.589000,"(26955, 26952, 26959, 26954)","(2027.5033848966084, 2689.7411354970545, 2348.765673350933, 2924.6409208406735)","[genpy.Time[135588000000], genpy.Time[135588000000], genpy.Time[135588000000]]"
1970/01/01/02:02:15.790000,"(26955, 26952, 26959, 26954)","(1970.0249091547503, 2640.5779141434446, 2378.211305064465, 2970.5474217470455)","[genpy.Time[135790000000], genpy.Time[135790000000], genpy.Time[135790000000]]"
1970/01/01/02:02:15.993000,"(26955, 26952, 26959, 26954)","(1905.173004438439, 2645.748013784712, 2455.2519935010478, 2965.424460576275)","[genpy.Time[135992000000], genpy.Time[135992000000], genpy.Time[135992000000]]"
1970/01/01/02:02:16.197000,"(26955, 26952, 26959, 26954)","(1872.3802555628129, 2544.8683547682504, 2467.023026486487, 3043.646557071088)","[genpy.Time[136196000000], genpy.Time[136196000000], genpy.Time[136196000000]]"
1970/01/01/02:02:16.398000,"(26955, 26952, 26959, 26954)","(1827.250818285483, 2517.6296516454904, 2507.125071118821, 3055.682381691208)","[genpy.Time[136396000000], genpy.Time[136396000000], genpy.Time[136396000000]]"
1970/01/01/02:02:16.597000,"(26955, 26952, 26959, 26954)","(1824.451163214223, 2514.850807414953, 2585.608849718512, 3129.8686506900685)","[genpy.Time[136596000000], genpy.Time[136596000000], genpy.Time[136596000000]]"
1970/01/01/02:02:16.796000,"(26955, 26952, 26959, 26954)","(1735.5046540269225, 2493.3081515921685, 2602.311121999834, 3155.7015253257578)","[genpy.Time[136796000000], genpy.Time[136796000000], genpy.Time[136796000000]]"
1970/01/01/02:02:16.995000,"(26955, 26952, 26959, 26954)","(1695.8411975336794, 2431.2825042929767, 2691.663654681678, 3197.9684502865825)","[genpy.Time[136996000000], genpy.Time[136996000000], genpy.Time[136996000000]]"
