time,.destination_id,.distance,.stamp
1970/01/01/02:31:46.825000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2721.4580637705103, 2910.3248574148015, 4213.309257712739, 4025.503634229592, 1632.1777721252827, 1167.124122877632)","[genpy.Time[1906825000000], genpy.Time[1906825000000], genpy.Time[1906825000000]]"
1970/01/01/02:31:47.037000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2707.297163507495, 2895.9065139180184, 4227.433341662575, 4035.5081031126565, 1698.5288727622515, 1088.6957832081487)","[genpy.Time[1907027000000], genpy.Time[1907027000000], genpy.Time[1907027000000]]"
1970/01/01/02:31:47.231000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2742.7202308686988, 2898.291061831286, 4215.065379687984, 3954.8654213763093, 1756.3118926110471, 1065.7435082045686)","[genpy.Time[1907227000000], genpy.Time[1907227000000], genpy.Time[1907227000000]]"
1970/01/01/02:31:47.431000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2750.1924947799776, 2864.3331492670527, 4166.810920550156, 3964.8120141273416, 1779.9001390752626, 1035.2708255016935)","[genpy.Time[1907429000000], genpy.Time[1907429000000], genpy.Time[1907429000000]]"
1970/01/01/02:31:47.630000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2696.342783923451, 2794.433653743442, 4198.762760681007, 3924.0425355032226, 1819.384000075961, 1005.3175776173638)","[genpy.Time[1907630000000], genpy.Time[1907630000000], genpy.Time[1907630000000]]"
1970/01/01/02:31:47.830000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2710.110402589834, 2793.7829041384775, 4177.388236132282, 3828.403073333247, 1865.6327014884928, 990.3285401669783)","[genpy.Time[1907830000000], genpy.Time[1907830000000], genpy.Time[1907830000000]]"
1970/01/01/02:31:48.032000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2672.0993927301, 2728.1275186017165, 4151.9388502283655, 3778.793126138027, 1920.4146195516412, 963.2826441503594)","[genpy.Time[1908031000000], genpy.Time[1908031000000], genpy.Time[1908031000000]]"
1970/01/01/02:31:48.232000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2638.775466642041, 2683.5037036548547, 4105.262031051827, 3773.1752067049974, 1956.6707574772468, 960.5728367917238)","[genpy.Time[1908232000000], genpy.Time[1908232000000], genpy.Time[1908232000000]]"
1970/01/01/02:31:48.435000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2568.2108059561083, 2625.287477956572, 4079.0961607287913, 3703.984199452744, 1965.0108421127945, 962.4459351927724)","[genpy.Time[1908435000000], genpy.Time[1908435000000], genpy.Time[1908435000000]]"
1970/01/01/02:31:48.635000,"(26956, 26957, 26955, 26952, 26959, 26954)","(2555.785827504738, 2579.4380620694087, 4059.4991037390882, 3596.194404654826, 1999.7168768988324, 967.9027935278899)","[genpy.Time[1908635000000], genpy.Time[1908635000000], genpy.Time[1908635000000]]"
