time,destination_id,distance,stamp
1970/01/01/02:03:44.692000,"(26955, 26952, 26959, 26954)","(3208.5784297719506, 381.1472136977157, 5034.783854336835, 3996.9823156273515)","[genpy.Time[224692000000], genpy.Time[224692000000], genpy.Time[224692000000]]"
1970/01/01/02:03:44.893000,"(26955, 26952, 26959, 26954)","(3215.7243543324125, 389.35540527501223, 5028.1571699287815, 3927.815442406654)","[genpy.Time[224892000000], genpy.Time[224892000000], genpy.Time[224892000000]]"
1970/01/01/02:03:45.094000,"(26955, 26952, 26959, 26954)","(3180.3823431481874, 399.97738282443646, 4962.991759987249, 3888.282801441297)","[genpy.Time[225094000000], genpy.Time[225094000000], genpy.Time[225094000000]]"
1970/01/01/02:03:45.295000,"(26955, 26952, 26959, 26954)","(3206.094146982599, 420.48041552115336, 4928.080703453215, 3831.860660194175)","[genpy.Time[225295000000], genpy.Time[225295000000], genpy.Time[225295000000]]"
1970/01/01/02:03:45.497000,"(26955, 26952, 26959, 26954)","(3170.3567496564156, 436.7283527203395, 4896.782981542359, 3785.8592991770165)","[genpy.Time[225497000000], genpy.Time[225497000000], genpy.Time[225497000000]]"
1970/01/01/02:03:45.699000,"(26955, 26952, 26959, 26954)","(3173.091236396845, 448.89343933054664, 4901.156414129724, 3782.493239143781)","[genpy.Time[225698000000], genpy.Time[225698000000], genpy.Time[225698000000]]"
1970/01/01/02:03:45.900000,"(26955, 26952, 26959, 26954)","(3202.042873557696, 473.6841238312153, 4887.504356524638, 3767.2634548938777)","[genpy.Time[225899000000], genpy.Time[225899000000], genpy.Time[225899000000]]"
1970/01/01/02:03:46.100000,"(26955, 26952, 26959, 26954)","(3148.6257452137356, 494.83940110912494, 4829.243342013039, 3702.8248976055975)","[genpy.Time[226099000000], genpy.Time[226099000000], genpy.Time[226099000000]]"
1970/01/01/02:03:46.301000,"(26955, 26952, 26959, 26954)","(3174.6487829119947, 525.2743730170733, 4887.356668339322, 3665.061534678865)","[genpy.Time[226300000000], genpy.Time[226300000000], genpy.Time[226300000000]]"
1970/01/01/02:03:46.500000,"(26955, 26952, 26959, 26954)","(3228.234141888101, 551.5671670095035, 4783.084779329018, 3611.0999648072466)","[genpy.Time[226500000000], genpy.Time[226500000000], genpy.Time[226500000000]]"
1970/01/01/02:03:46.702000,"(26955, 26952, 26959, 26954)","(3217.086031549134, 578.1860459415913, 4764.944576995404, 3575.521220792596)","[genpy.Time[226701000000], genpy.Time[226701000000], genpy.Time[226701000000]]"
1970/01/01/02:03:46.903000,"(26955, 26952, 26959, 26954)","(3220.8540917983514, 589.8122650368862, 4743.894853300323, 3509.6838786011876)","[genpy.Time[226902000000], genpy.Time[226902000000], genpy.Time[226902000000]]"
1970/01/01/02:03:47.104000,"(26955, 26952, 26959, 26954)","(3218.599602297757, 590.531197565875, 4755.312196966092, 3529.4240869844057)","[genpy.Time[227103000000], genpy.Time[227103000000], genpy.Time[227103000000]]"
1970/01/01/02:03:47.303000,"(26955, 26952, 26959, 26954)","(3202.3645715895427, 584.4480862847513, 4742.126684823325, 3551.1542476824825)","[genpy.Time[227303000000], genpy.Time[227303000000], genpy.Time[227303000000]]"
1970/01/01/02:03:47.504000,"(26955, 26952, 26959, 26954)","(3195.990934203825, 593.7747888979518, 4737.196010117699, 3533.2226551834133)","[genpy.Time[227504000000], genpy.Time[227504000000], genpy.Time[227504000000]]"
1970/01/01/02:03:47.706000,"(26955, 26952, 26959, 26954)","(3217.9334053311745, 584.3418155177984, 4804.544629845086, 3586.9044981642105)","[genpy.Time[227705000000], genpy.Time[227705000000], genpy.Time[227705000000]]"
1970/01/01/02:03:47.905000,"(26955, 26952, 26959, 26954)","(3210.142422298439, 579.8696213129747, 4771.990964843177, 3556.5210538518745)","[genpy.Time[227905000000], genpy.Time[227905000000], genpy.Time[227905000000]]"
