time,.destination_id,.distance,.stamp
1970/01/01/02:01:24.630000,"(26955, 26952, 26959, 26954)","(2803.0673023022086, 2844.185321689693, 1984.6862563474533, 2142.0405441053863)","[genpy.Time[84630000000], genpy.Time[84630000000], genpy.Time[84630000000]]"
1970/01/01/02:01:24.832000,"(26955, 26952, 26959, 26954)","(2796.1934560417117, 2912.7074526847377, 1992.2142442054235, 2154.829681647329)","[genpy.Time[84831000000], genpy.Time[84831000000], genpy.Time[84831000000]]"
1970/01/01/02:01:25.039000,"(26955, 26952, 26959, 26954)","(2862.9299082550588, 2881.6602544342845, 1990.595956303983, 2112.9042480492144)","[genpy.Time[85038000000], genpy.Time[85038000000], genpy.Time[85038000000]]"
1970/01/01/02:01:25.241000,"(26955, 26952, 26959, 26954)","(2900.5755331060877, 2892.6555374865675, 2032.4232429591252, 2069.4191638612924)","[genpy.Time[85242000000], genpy.Time[85242000000], genpy.Time[85242000000]]"
1970/01/01/02:01:25.443000,"(26955, 26952, 26959, 26954)","(2878.365660156865, 2950.89129288634, 1997.6774064257136, 2032.0157054107465)","[genpy.Time[85442000000], genpy.Time[85442000000], genpy.Time[85442000000]]"
1970/01/01/02:01:25.647000,"(26955, 26952, 26959, 26954)","(2925.312859358706, 2902.62746738071, 1997.5401256880891, 2010.6856154501795)","[genpy.Time[85645000000], genpy.Time[85645000000], genpy.Time[85645000000]]"
1970/01/01/02:01:25.849000,"(26955, 26952, 26959, 26954)","(2940.827735379664, 2876.4906158844988, 2029.0153288673737, 1986.0270216738857)","[genpy.Time[85849000000], genpy.Time[85849000000], genpy.Time[85849000000]]"
1970/01/01/02:01:26.049000,"(26955, 26952, 26959, 26954)","(2919.0568123071407, 2919.281122457523, 2035.8552704600586, 1917.25803457707)","[genpy.Time[86049000000], genpy.Time[86049000000], genpy.Time[86049000000]]"
1970/01/01/02:01:26.249000,"(26955, 26952, 26959, 26954)","(2994.446334395348, 2895.248913573159, 2016.9235417783657, 1972.9757284819332)","[genpy.Time[86249000000], genpy.Time[86249000000], genpy.Time[86249000000]]"
1970/01/01/02:01:26.450000,"(26955, 26952, 26959, 26954)","(2916.459813176311, 2942.958937692161, 2029.8662589666449, 1962.7122726967766)","[genpy.Time[86452000000], genpy.Time[86452000000], genpy.Time[86452000000]]"
1970/01/01/02:01:26.659000,"(26955, 26952, 26959, 26954)","(2940.197234229899, 2902.138459680944, 2024.3064926890909, 1951.4061463150874)","[genpy.Time[86655000000], genpy.Time[86655000000], genpy.Time[86655000000]]"
1970/01/01/02:01:26.853000,"(26955, 26952, 26959, 26954)","(2979.868028956469, 2872.6699272804235, 2050.1189490502734, 1950.9361644273454)","[genpy.Time[86856000000], genpy.Time[86856000000], genpy.Time[86856000000]]"
1970/01/01/02:01:27.057000,"(26955, 26952, 26959, 26954)","(2969.296724262604, 2898.218583837739, 2046.3833641767922, 1951.5975101445467)","[genpy.Time[87056000000], genpy.Time[87056000000], genpy.Time[87056000000]]"
1970/01/01/02:01:27.258000,"(26955, 26952, 26959, 26954)","(2978.528016209528, 2899.871369960035, 2029.0349701766297, 1945.4192522677056)","[genpy.Time[87257000000], genpy.Time[87257000000], genpy.Time[87257000000]]"
1970/01/01/02:01:27.460000,"(26955, 26952, 26959, 26954)","(2950.636537618277, 2897.431020031908, 2045.7186629805637, 1960.314185262313)","[genpy.Time[87459000000], genpy.Time[87459000000], genpy.Time[87459000000]]"
1970/01/01/02:01:27.660000,"(26955, 26952, 26959, 26954)","(2978.8462387235886, 2915.154777884739, 2014.6667015679861, 1947.0259780216397)","[genpy.Time[87660000000], genpy.Time[87660000000], genpy.Time[87660000000]]"
1970/01/01/02:01:27.864000,"(26955, 26952, 26959, 26954)","(3000.2933703010904, 2894.319082860953, 2020.8936143617004, 1958.4038864580848)","[genpy.Time[87863000000], genpy.Time[87863000000], genpy.Time[87863000000]]"
1970/01/01/02:01:28.065000,"(26955, 26952, 26959, 26954)","(2961.714589318525, 2844.5506129468313, 2022.8402018128645, 1955.9157020064972)","[genpy.Time[88064000000], genpy.Time[88064000000], genpy.Time[88064000000]]"
1970/01/01/02:01:28.265000,"(26955, 26952, 26959, 26954)","(2977.4223647983767, 2888.4248851047128, 2011.634490971449, 1948.8365618384307)","[genpy.Time[88265000000], genpy.Time[88265000000], genpy.Time[88265000000]]"
